token,fold,pinball_q10,pinball_q25,pinball_q50,pinball_q75,pinball_q90
LAUNCHCOIN,10,0.15014894390136418,0.27894840283204575,0.316562871581356,0.31756039967264155,0.28166056576545645
LAUNCHCOIN,11,1.506011498296111,3.603395547235078,6.851789202222985,9.624851748008924,11.069225499914333
LAUNCHCOIN,12,0.3460904760130937,0.8182299506158018,1.4619485142189514,1.8372880081649472,1.4219046860856108
LAUNCHCOIN,13,0.04764692293233016,0.07207491668826489,0.0915465035291889,0.19860195395951952,0.21282446805970087
LAUNCHCOIN,14,0.029773815824394922,0.04105968215494999,0.04077872970223406,0.04850871881202946,0.06248277384065907
LAUNCHCOIN,15,0.045825525693796214,0.06925151688824505,0.05026058096660344,0.07127341451495016,0.12775540639918964
LAUNCHCOIN,16,0.0364212221882084,0.044233441268723674,0.03862621240903577,0.3419485817832515,0.853582922723707
LAUNCHCOIN,17,0.016515865686663248,0.020954425410448313,0.07374446511724377,0.09087081112377375,0.2878107245833556
MEW,0,0.008981418144638839,0.012276636181179183,0.010869534830507016,0.009433384976063308,0.007292437979766703
MEW,1,0.021256918621287202,0.03924892537991044,0.06004308586239582,0.0549721995459185,0.038081408803268775
MEW,2,0.025378861554579385,0.049920636072300295,0.07082213591120866,0.071901569254274,0.06400641254970306
MEW,3,0.016528863494929814,0.030803584003617646,0.03594775150755274,0.03224702818953009,0.01477818446586258
MEW,4,0.023743102000345313,0.0380201028845565,0.048741119563911854,0.052155239535785845,0.03900352111978025
MEW,5,0.006483431442745162,0.019427046282964256,0.034852650476415135,0.02527773638709967,0.013499309304066584
MEW,6,0.04810483636238554,0.05702504588680504,0.053559427220336873,0.03445698555255852,0.02123434293381875
MEW,7,0.021753683570710614,0.039425077611213756,0.06100550235170459,0.05622147345227418,0.02737633117843516
MEW,8,0.007284114639324781,0.02533667785208392,0.03505843486481032,0.027439898776636135,0.01456086449020754
MEW,9,0.006643927311626514,0.012840333279973722,0.01890729895992584,0.015774951752930942,0.012086521532002119
MEW,10,0.010027260309353437,0.013304931908710675,0.010486792725124391,0.008272884423710263,0.008235063713908497
MEW,11,0.017364136635492095,0.02931188125873711,0.03224510224180299,0.021897528552813975,0.015187614471575782
MEW,12,0.007981000762489365,0.011048119433820383,0.021804053340361673,0.018403785881123676,0.01280837327993021
MEW,13,0.006723411604457167,0.005348864104500657,0.015133234667862707,0.0229186728291534,0.014158529905396565
MEW,14,0.011144395506976794,0.013080822384641658,0.013408540313463958,0.017751328923173472,0.01235552899123018
MEW,15,0.01302195405353908,0.014211102356489326,0.017420914858583852,0.02329696498458333,0.01626946270840563
MEW,16,0.020811462028222316,0.04011889987600759,0.057808094925839056,0.07194177999239243,0.051037112409405054
MEW,17,0.01678707635490481,0.03192732907228873,0.04343255251557102,0.03553849981702852,0.015256772426130832
MEW,18,0.011059688732673496,0.022555691461408216,0.02872613279102514,0.02384412686196431,0.015299695430920612
