token,tau,pinball
ALCH,0.75,0.06670897840447441
ALCH,0.95,0.09777188804145598
ALCH,0.05,0.022525093928825794
ALCH,0.25,0.07951503550824779
ALCH,0.5,0.04335489978306035
ALCH,0.75,0.09752978036701514
ALCH,0.95,0.0736469923121741
ALCH,0.05,0.027276886282221927
ALCH,0.25,0.07530884554486678
ALCH,0.5,0.02681032352601194
ALCH,0.75,0.09173658007986596
ALCH,0.95,0.07523359633524151
ALCH,0.05,0.02837319737909488
ALCH,0.25,0.12726910885833256
ALCH,0.5,0.07669916126906749
ALCH,0.75,0.09265606106628677
ALCH,0.95,0.06521397057905853
ALCH,0.05,0.012052792567504132
ALCH,0.25,0.0476668662205141
ALCH,0.5,0.05951885350223265
ALCH,0.75,0.12463642683021021
ALCH,0.95,0.08129363142996526
ALCH,0.05,0.0296667616716137
ALCH,0.25,0.07224109479382392
ALCH,0.5,0.03714658440110837
ALCH,0.75,0.031040011087818883
ALCH,0.95,0.022146584004275074
ALCH,0.05,0.01881543507039607
ALCH,0.25,0.033418717556252094
ALCH,0.5,0.018928275542537322
ALCH,0.75,0.05634781612438227
ALCH,0.95,0.045266325339028135
ALCH,0.05,0.023831722060850297
ALCH,0.25,0.04132374394671664
ALCH,0.5,0.03151354327268135
ALCH,0.75,0.07199259585566802
ALCH,0.95,0.04077413868109453
ALCH,0.05,0.029180384261047368
ALCH,0.25,0.04832033348659318
ALCH,0.5,0.02849821007310917
ALCH,0.75,0.06184063150682962
ALCH,0.95,0.02045859225202356
ALCH,0.05,0.013598376496144442
ALCH,0.25,0.027624067275429733
ALCH,0.5,0.07702875605888532
ALCH,0.75,0.06674971358419064
ALCH,0.95,0.02669541510704769
ALCH,0.05,0.015408555151764411
ALCH,0.25,0.050899760783290914
ALCH,0.5,0.02575884382987415
ALCH,0.75,0.026715365046986028
ALCH,0.95,0.011696815008159932
ALCH,0.05,0.011043575425465508
ALCH,0.25,0.035941344986227794
ALCH,0.5,0.019250906632950534
ALCH,0.75,0.04600082058680024
ALCH,0.95,0.015712245689139818
ALCH,0.05,0.014697979825229739
ALCH,0.25,0.030970046704972738
ALCH,0.5,0.023574593037963346
ALCH,0.75,0.04856140284606069
ALCH,0.95,0.022697363094864493
ALCH,0.05,0.010170646358924096
ALCH,0.25,0.03359091212527385
ALCH,0.5,0.01720178326902463
ALCH,0.75,0.051687384151087
ALCH,0.95,0.0221592878811665
ALCH,0.05,0.012905054045556278
ALCH,0.25,0.03731788013048757
ALCH,0.5,0.018901621371431913
ALCH,0.75,0.03675484718610487
ALCH,0.95,0.01150427337215095
ALCH,0.05,0.013139876124541233
ALCH,0.25,0.024644875693948857
ALCH,0.5,0.012462239635186875
ALCH,0.75,0.038561999535815385
ALCH,0.95,0.010315596630793109
ALCH,0.05,0.008652148712522198
ALCH,0.25,0.02018770211112381
ALCH,0.5,0.009949089832725244
ALCH,0.75,0.029950394755718274
ALCH,0.95,0.014337105974832386
AVA,0.05,0.031132974292192597
AVA,0.25,0.06448631299277191
AVA,0.5,0.03670544864180956
AVA,0.75,0.05770536251890495
AVA,0.95,0.023525590906775213
AVA,0.05,0.019906968342950294
AVA,0.25,0.07580255565683253
AVA,0.5,0.024897151569026842
AVA,0.75,0.05224094220683593
AVA,0.95,0.022785740503024395
AVA,0.05,0.016062725237951766
AVA,0.25,0.040947156780580966
AVA,0.5,0.037682090878312764
AVA,0.75,0.04578030765204994
AVA,0.95,0.03550994885649376
AVA,0.05,0.01915789387536471
AVA,0.25,0.03797030013510238
AVA,0.5,0.015859777504196905
AVA,0.75,0.023941938777001574
AVA,0.95,0.0154120710849392
AVA,0.05,0.013767132676775267
AVA,0.25,0.037959184750099094
AVA,0.5,0.03567351281697951
AVA,0.75,0.06379008795241921
AVA,0.95,0.029739418198138107
AVA,0.05,0.01051315209736532
AVA,0.25,0.028553010025230835
AVA,0.5,0.0329892434661884
AVA,0.75,0.03637817852321184
AVA,0.95,0.01382239510042269
AVA,0.05,0.014157376140769506
AVA,0.25,0.026304449955796252
AVA,0.5,0.024105692079732708
AVA,0.75,0.043878013400185746
AVA,0.95,0.01782017793235352
AVA,0.05,0.014101676577051728
AVA,0.25,0.05015180558357535
AVA,0.5,0.02512348114409089
AVA,0.75,0.07073167133644541
AVA,0.95,0.029694914645879672
AVA,0.05,0.021470744197303424
AVA,0.25,0.09516645071847868
AVA,0.5,0.0704047168981853
AVA,0.75,0.055227319770078075
AVA,0.95,0.04037817179065591
AVA,0.05,0.01452549035922808
AVA,0.25,0.05262364657543386
AVA,0.5,0.055900446490565005
AVA,0.75,0.0572802168670612
AVA,0.95,0.02758893310001284
AVA,0.05,0.017942093296234456
AVA,0.25,0.06331618773766538
AVA,0.5,0.01803299838417002
AVA,0.75,0.0326688713353869
AVA,0.95,0.020470382675770473
AVA,0.05,0.02480120625581905
AVA,0.25,0.12136944330566501
AVA,0.5,0.1001550239068988
AVA,0.75,0.0664287452596777
AVA,0.95,0.03653516050208959
AVA,0.05,0.02557146168641779
AVA,0.25,0.09006226547029521
AVA,0.5,0.07111082719259554
