model,token,tau,pinball_mean,pinball_se,coverage80,coverage90,width80_mean,width90_mean,n_obs
QRF_v3,GIGA,0.75,0.02700615129623477,0.0024395246949621458,0.6933333333333334,0.76,0.18761143305832928,0.23209778607814988,150
QRF_v3,GIGA,0.9,0.017692550058373294,0.002339097621343197,0.6933333333333334,0.76,0.18761143305832928,0.23209778607814988,150
QRF_v3,GIGA,0.95,0.011463740490461529,0.001917008407993188,0.6933333333333334,0.76,0.18761143305832928,0.23209778607814988,150
QRF_v3,GOAT,0.05,0.012144162522222359,0.0013847171263085753,0.68,0.7266666666666667,0.2501082011547445,0.30082330561218923,150
QRF_v3,GOAT,0.1,0.018932933102671832,0.002046960949862268,0.68,0.7266666666666667,0.2501082011547445,0.30082330561218923,150
QRF_v3,GOAT,0.25,0.039058992731495684,0.004867979735485528,0.68,0.7266666666666667,0.2501082011547445,0.30082330561218923,150
QRF_v3,GOAT,0.5,0.07907046539106204,0.010805279601117903,0.68,0.7266666666666667,0.2501082011547445,0.30082330561218923,150
QRF_v3,GOAT,0.75,0.06724176187796099,0.010366413015714896,0.68,0.7266666666666667,0.2501082011547445,0.30082330561218923,150
QRF_v3,GOAT,0.9,0.05811210112944308,0.010845569632765773,0.68,0.7266666666666667,0.2501082011547445,0.30082330561218923,150
QRF_v3,GOAT,0.95,0.04753092326279025,0.010240267139201889,0.68,0.7266666666666667,0.2501082011547445,0.30082330561218923,150
QRF_v3,LAUNCHCOIN,0.05,0.09471465575878542,0.019465503008907595,0.7222222222222222,0.7870370370370371,5.4810699411671235,6.604364590035098,108
QRF_v3,LAUNCHCOIN,0.1,0.18268838295437598,0.03828788597316036,0.7222222222222222,0.7870370370370371,5.4810699411671235,6.604364590035098,108
QRF_v3,LAUNCHCOIN,0.25,0.40403606682685583,0.09219211065776127,0.7222222222222222,0.7870370370370371,5.4810699411671235,6.604364590035098,108
QRF_v3,LAUNCHCOIN,0.5,0.7163943523260359,0.17834992559279925,0.7222222222222222,0.7870370370370371,5.4810699411671235,6.604364590035098,108
QRF_v3,LAUNCHCOIN,0.75,0.9971519403266237,0.25301200233477267,0.7222222222222222,0.7870370370370371,5.4810699411671235,6.604364590035098,108
QRF_v3,LAUNCHCOIN,0.9,1.2230868175824066,0.268983975901857,0.7222222222222222,0.7870370370370371,5.4810699411671235,6.604364590035098,108
QRF_v3,LAUNCHCOIN,0.95,0.9767622758460212,0.25062409748018255,0.7222222222222222,0.7870370370370371,5.4810699411671235,6.604364590035098,108
QRF_v3,MEW,0.05,0.007691049544753961,0.0011273419000772042,0.68,0.82,0.1369518984716055,0.19354041973607436,150
QRF_v3,MEW,0.1,0.01229119428740939,0.0015562058894635904,0.68,0.82,0.1369518984716055,0.19354041973607436,150
QRF_v3,MEW,0.25,0.02233055667924736,0.0017599723585060658,0.68,0.82,0.1369518984716055,0.19354041973607436,150
QRF_v3,MEW,0.5,0.03094864980675812,0.0022944030429883377,0.68,0.82,0.1369518984716055,0.19354041973607436,150
QRF_v3,MEW,0.75,0.02302754304905205,0.0021043142616782463,0.68,0.82,0.1369518984716055,0.19354041973607436,150
QRF_v3,MEW,0.9,0.014970744780899633,0.0018957608405557054,0.68,0.82,0.1369518984716055,0.19354041973607436,150
QRF_v3,MEW,0.95,0.009993470807882465,0.00171117889879955,0.68,0.82,0.1369518984716055,0.19354041973607436,150
QRF_v3,MLG,0.05,0.014429045106867043,0.0015066014570920313,0.6266666666666667,0.7666666666666667,0.3174082097492781,0.39478811533520397,150
QRF_v3,MLG,0.1,0.02257977075979104,0.0018757732661578458,0.6266666666666667,0.7666666666666667,0.3174082097492781,0.39478811533520397,150
QRF_v3,MLG,0.25,0.040611887971234883,0.003261015529086344,0.6266666666666667,0.7666666666666667,0.3174082097492781,0.39478811533520397,150
QRF_v3,MLG,0.5,0.0666700406452426,0.005774824118609285,0.6266666666666667,0.7666666666666667,0.3174082097492781,0.39478811533520397,150
